Count,Name,Section
1,Territorial Kavu,main
1,"Tezzeret, Betrayer of Flesh",main
1,"Thalia, Guardian of Thraben",main
1,The Binding of the Titans,main
1,The Goose Mother,main
1,The Huntsman's Redemption,main
1,The Wandering Emperor,main
1,Thing in the Ice // Awoken Horror,main
1,Throne of the God-Pharaoh,main
1,Thundering Falls,main
1,Tibalt's Rager,main
1,Tidehollow Sculler,main
1,Tireless Tracker,main
1,"Titania, Protector of Argoth",main
1,Torch the Tower,main
1,Touch the Spirit Realm,main
1,Tragic Fall,main
1,Traverse the Ulvenwald,main
1,Treasure Cruise,main
1,Turn to Mist,main
1,Twinshot Sniper,main
1,Ulcerate,main
1,Undercity Sewers,main
1,Underground Mortuary,main
1,Unearth,main
1,Unexpectedly Absent,main
1,Unholy Heat,main
1,Unsummon,main
1,Utopia Sprawl,main
1,Vampire Hexmage,main
1,Vampire of the Dire Moon,main
2,Verdant Catacombs,main
1,Vexing Gull,main
1,Virtue of Persistence // Locthwain Scorn,main
1,Viscera Seer,main
1,"Vivien, Champion of the Wilds",main
1,Warden of the Inner Sky,main
2,Watery Grave,main
1,Welcoming Vampire,main
1,Werefox Bodyguard,main
1,Wilderness Reclamation,main
1,Winds of Rebuke,main
2,Windswept Heath,main
1,Woe Strider,main
2,Wooded Foothills,main
1,Wrath of God,main
1,Young Pyromancer,main
1,Zulaport Cutthroat,main

